ID,,White,Black/African American,Asian,Asian/Pacific Islander,Chinese,Japanese,Total,completion_month_year,phase,MTW Status,Published paper,Published result in clicnicaltrials,,,official_title,source,intervention_names,Age eligible for study,Study population,Is this an extension study
NCT00646711,Kernitsky 2005,8,8,NA,NA,NA,NA,16,3-Dec,Phase 2,Matching,1,y,Matching,,"A 14 Day Randomized, Open-Label, Cross-Over, Single Center, Outpatient Study of Depakote Delayed-Release or Depakote Sprinkle vs. Divalproex Sodium Extended-Release in Child and Adolescent Patients With Epilepsy",Abbott,Depakote Delayed-Release/Depakote Sprinkle | Depakote ER,6_17,USA,n
NCT00594945,2014,9,0,0,NA,NA,NA,9,9-Jun,Phase 2,Matching,0,y,Matching,,"A Phase 2a, Open-label,Proof -Of-Concept Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Intranasal Clonazepam in Adult Subjects With Epileptic Seizures",Jazz Pharmaceuticals,Clonazepam,18-65,"USA
Finland",n
NCT00552305,Rosenfeld 2014,345,13,3,NA,NA,NA,370,10-Feb,Phase 2,Matching,1,y,Matching,,An Open-label Extension Trial to Determine Tolerability and Efficacy of Long-term Oral SPM 927 as Adjunctive Therapy in Patients With Partial Seizures,UCB Pharma,lacosamide,NA,"USA
Germany
Hungary
Lithuania
Poland
Sweden
Switzerland
United Kingdom",y
NCT00545012,2007,4,NA,NA,NA,NA,NA,4,3-May,Phase 2,Matching,0,y,Matching,,A 30-month Safety and Efficacy Follow-up Study With Levetiracetam at Individualized Optimal Dose in Children (4-17 Years Old at Inclusion) Suffering From Typical Absences in Childhood Absence Epilepsy (CAE) or Juvenile Absence Epilepsy (JAE),UCB Pharma,Levetiracetam,4_17,NA,y
NCT00422422,2018,80,4,NA,NA,NA,NA,100,13-Mar,Phase 2,Matching,0,y,Matching,,"Open-Label, Single-Arm, Multicenter, Pharmacokinetic, Safety, and Efficacy Study of Adjunctive Administration of Brivaracetam in Subjects From __‰1 Month to <16 Years Old With Epilepsy",UCB Pharma,Brivaracetam,1month to 16 years,"USA
Belgium
Czechia
Mexico
Poland
Spain",n
NCT00368472,rektor 2012,128,5,NA,1,NA,NA,138,14-Jul,Phase 2,Matching,1,y,Matching,,"An Open-Label Extension Phase of the Double-Blind, Placebo-Controlled, Dose-Escalation, Parallel-Group Study of E2007 (Perampanel) as an Adjunctive Therapy in Patients With Refractory Partial Seizures",Eisai Inc.,Perampanel,18-70,"USA
Australia
Belgium
Czech Republic
Estonia
Finland
France
Germany
Latvia
Lithuania
Netherlands
Spain
Sweden
United Kingdom",y
NCT00210574,2011,8,NA,NA,NA,NA,NA,12,6-Oct,Phase 2,Matching,0,y,Matching,,A Pilot Study of Topiramate in Childhood Absence Epilepsy,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",topiramate,4_9,USA,n
NCT01982812,2016,NA,44,NA,NA,NA,NA,44,15-Jun,Phase 2,Matching,0,y,Matching,,A Safety and Feasibility Study of Enteral Levetiracetam vs. Phenobarbital for Seizure Control in Pediatric Cerebral Malaria,University of Rochester,Oral Levetiracetam | Standard AED,24-83 months,Malawi,n
NCT01463033,Klein 2012,53,66,NA,NA,NA,NA,126,10-Feb,Phase 2,Matching,1,y,Matching,,Pilot: Levetiracetam to Prevent Post-Traumatic Epilepsy,Children's Research Institute,Levetiracetam,6 years and older,USA,n
NCT01431976,2017,NA,NA,4,NA,NA,16,20,15-Nov,Phase 3,Matching,0,y,Matching,,"A Multi-center, Uncontrolled, Open-label, Evaluation of Lamotrigine Monotherapy on Newly Diagnosed Typical Absence Seizures in Children and Adolescents",GlaxoSmithKline,Lamictal,2_15,"Japan
Korea, Republic of",n
NCT01431963,2016,NA,NA,26,NA,NA,39,65,14-Oct,Phase 3,Matching,0,y,Matching,,"A Multi-center, Uncontrolled, Open-label, Evaluation of Lamotrigine Monotherapy in Newly Diagnosed Epilepsy or Recurrent Epilepsy (Currently Untreated)",GlaxoSmithKline,Lamictal,16 years and older,"Japan
Korea, Republic of",n
NCT01336621,2018,90,NA,8,NA,NA,NA,98,17-Sep,Phase 3,Matching,0,y,Matching,,"A Multicentre, Open-Label, Long-Term, Safety and Tolerability Study of Retigabine Immediate Release (IR) in Adults With Partial-Onset Seizures (Extension of Study RGB113905)",GlaxoSmithKline,Retigabine IR,18 years and older,"Belgium
Bulgaria
France
Germany
Italy
Netherlands
Poland
Russian Federation
Thailand
Ukraine",y
NCT01227902,2014,188,NA,15,NA,NA,NA,203,12-Dec,Phase 3,Matching,0,y,Matching,,"An Open-Label, Flexible-Dose Study of Retigabine Immediate Release (IR) as Adjunctive Therapy to Specified Monotherapy Antiepileptic Treatments in Adults With Partial -Onset Seizures",GlaxoSmithKline,Retigabine IR,18 years and older,"Belgium
Bulgaria
Denmark
France
Germany
Italy
Netherlands
Poland
Russian Federation
Spain
Thailand
Ukraine",n
NCT01160770,Ng 2012,176,31,53,NA,NA,NA,267,12-Feb,Phase 3,Matching,2,y,Matching,,Safety and Effectiveness of Open-Label Clobazam in Subjects With Lennox-Gastaut Syndrome,Lundbeck LLC,Clobazam,2_60,"Australia
Belarus
India
Lithuania
USA",y
NCT00910247,2018,229,22,5,NA,NA,NA,274,17-Apr,Phase 3,Matching,0,y,Matching,,Long Term Eslicarbazepine Acetate Extension Study,Sunovion,Eslicarbazepine acetate,16-70,"USA
Bulgaria
Canada
Czechia
Serbia
Ukraine
",y
NCT00761774,2018,97,7,NA,NA,NA,NA,108,17-Mar,Phase 3,Matching,0,y,Matching,,"An Open-label, Multinational, Multicenter, Follow-up Study to Evaluate the Long-term Safety and Efficacy of Brivaracetam Used at a Flexible Dose up to a Maximum of 200 mg/Day in Subjects Aged 16 Years or Older Suffering From Epilepsy.",UCB Pharma,Brivaracetam,16 years and older,"USA
Australia
Belgium
Canada
Czechia
France
Germany
Hungary
Italy
Spain
Sweden",n
NCT00735397,Rosenfeld 2015,100,3,13,NA,NA,NA,121,14-Sep,Phase 3,Matching,2,y,Matching,,"An Open-Label Extension Phase of the Double-Blind, Placebo-Controlled, Dose-Escalation, Parallel-Group Studies to Evaluate the Efficacy and Safety of E2007 (Perampanel) Given as Adjunctive Therapy in Subjects With Refractory Partial Seizures",Eisai Inc.,perampanel,12 years and older,"USA
Argentina
Australia
Austria
Belgium
Bulgaria
Canada
Chile
China
Czech Republic
Estonia
Finland
France
Germany
Greece
Hong Kong
Hungary
India
Israel
Italy
Korea, Republic of
Latvia
Lithuania
Malaysia
Mexico
Netherlands
Philippines
Poland
Portugal
Romania
Russian Federation
Serbia
South Africa
Spain
Sweden
Taiwan
Thailand
Ukraine
United Kingdom",y
NCT00655551,Fountain 2013,83,13,1,NA,NA,NA,100,9-Sep,Phase 3,Matching,1,y,Matching,,"A Multicenter, Open-label Trial to Assess the Safety and Tolerability of a Single Intravenous Loading Dose of Lacosamide Followed by Oral Lacosamide Maintenance as Adjunctive Therapy in Subjects With Partial-onset Seizures",UCB Pharma,lacosamide | lacosamide | lacosamide,16-60,USA,n
NCT00530855,2018,258,46,1,NA,NA,NA,322,14-Dec,Phase 3,Matching,0,y,Matching,,"A Multicenter, Open-label Extension Trial to Assess the Long-term Use of Lacosamide Monotherapy and Safety of Lacosamide Monotherapy and Adjunctive Therapy in Subjects With Partial-onset Seizures",UCB Pharma,Lacosamide,16-70,"USA
Australia
Canada
Denmark
Germany
Italy
Poland
Spain
United Kingdom",y
NCT00522275,Husain 2012,251,29,5,NA,NA,NA,308,9-Oct,Phase 3,Matching,1,y,Matching,,An Open-label Extension Trial to Determine Safety and Efficacy of Long-term Oral SPM 927 in Patients With Partial Seizures,UCB Pharma,lacosamide,16-70,USA,y
NCT00516139,2017,105,14,2,NA,NA,NA,121,10-Jul,Phase 3,Matching,0,y,Matching,,Lamotrigine Extended-Release in Elderly Patients With Epilepsy,GlaxoSmithKline,Lamotrigine,65 and older,USA,n
NCT00515619,Rosennow 2015,375,NA,NA,NA,NA,NA,376,10-Aug,Phase 3,Matching,1,y,Matching,,An International Open-label Extension Trial to Determine Safety and Efficacy of Long-term Oral Lacosamide (SPM 927) in Patients With Partial Seizures,UCB Pharma,Lacosamide,16-70,"Australia
Croatia
Czechia
Finland
France
Germany
Hungary
Lithuania
Poland
Russian Federation
Spain
Sweden
United Kingdom
",y
NCT00448539,2012,236,20,NA,4,NA,NA,286,10-Dec,Phase 3,Matching,0,y,Matching,,An Open-Label Extension Study of Rufinamide Given as Adjunctive Therapy in Patients With Refractory Partial Seizures,Eisai Inc.,Rufinamide | Placebo,12_80,USA,y
NCT00395694,2018,NA,NA,NA,NA,NA,102,102,9-Mar,Phase 3,Matching,0,y,Matching,,Clinical Evaluation of BW430C in Epilepsy<Phase III Study>,GlaxoSmithKline,lamictal,2–65,"Japan
",n
NCT00367432,2015,NA,NA,NA,2,NA,396,398,10-Dec,Phase 3,Matching,0,y,Matching,,"A Multicenter, Open, Long-term Follow-up Study to Evaluate the Safety and Efficacy of L059 (Levetiracetam) at Individual Optimal Dose Ranging From 500 to 3000 mg/Day in Twice Daily Administration in Subjects From 16 to 65 Years With Epilepsy Suffering From Partial Onset Seizures Whether or Not Secondarily Generalized Who Completed in a Previous Study",UCB Pharma,Levetiracetam,16-65,Japan,Y
NCT00310375,2018,94,14,NA,NA,NA,NA,181,17-Mar,Phase 3,Matching,0,y,Matching,,"A Multicenter, Open-label, Long-term, Safety, Tolerability and Efficacy Study of Retigabine in Adult Epilepsy Patients With Partial-onset Seizures (Extension of Study VRX-RET-E22-301)",GlaxoSmithKline,Ezogabine: USAN Retigabine (International Nonproprietary Name),18-75,"USA
Argentina
Brazil
Canada
Mexico
",Y
NCT00292461,2013,0,0,64,NA,NA,NA,64,9-Sep,Phase 3,Matching,0,y,Matching,,"A Study for Evaluating the Efficacy and Safety of Zonisamide and Lamotrigine (Lamictal) for Subjects With Refractory Simple Partial, Complex Partial or Partial With Secondary Generalized Seizures",Eisai Inc.,Zonisamide | Lamotrigine,16-70,"Taiwan
China",n
NCT00264615,Tompson 2008,43,NA,NA,NA,NA,NA,44,6-Jun,Phase 3,Matching,1,n,Matching,,"An Open-label, Double Conversion Study to Characterize the Pharmacokinetics of Lamotrigine When Switching Patients With Epilepsy on LAMICTAL Immediate-release to Extended-release Formulation and Vice Versa",GlaxoSmithKline,lamotrigine extended-release,13 years and older,USA,n
NCT00160615,2008,NA,NA,NA,NA,NA,151,151,7-Jan,Phase 3,Matching,0,y,Matching,,Follow-up Study of L059 (Levetiracetam) in Epileptic Patients With Partial Onset Seizures by Open Label Method,UCB Pharma,levetiracetam,16 years and older,NA,y
NCT00152516,Piña-Garza 2010,117,15,1,NA,NA,NA,152,8-Jun,Phase 3,Matching,1,y,Matching,,"A Multi-Center, Open-Label, Long-Term, Follow-Up Study Of the Safety And Efficacy Of Levetiracetam In Children With Partial Onset Seizures.",UCB Pharma,levetiracetam (LEV),1 month to 16 years,"USA
Belhium
Brazil
Canada
Czech Republic
France
Germany
Hungary
India
Italy
Mexico
Poland
Romania
Russian Federation
South Africa
United Kingdom",y
NCT00150813,2008,66,NA,NA,NA,NA,NA,66,7-May,Phase 3,Matching,0,y,Matching,,"A Multicenter, Open-label, Follow-up Trial Evaluating the Long-term Safety of Levetiracetam Individualized Dose From 1000 to 3000 mg/Day (Oral Tablets of 500 mg b.i.d.), Used as Monotherapy in Subjects (__‰ 16 Years) Suffering From Epilepsy and Coming From the N01061 or the N01093 Trials.",UCB Pharma,Levetiracetam,16 years and older,"Czehcia
Hungary
Poland
Sweden
",y
NCT00150800,2018,361,18,206,  NA,NA,NA,667,17-Sep,Phase 3,Matching,0,y,Matching,,"An Open-label, Multi-center, Follow-up Trial to Evaluate Long Term Safety and Efficacy of Brivaracetam Used as Adjunctive Treatment at a Flexible Dose up to a Maximum of 200 mg/Day in Subjects Aged 16 Years or Older Suffering From Epilepsy",UCB Pharma,Brivaracetam,16 years and older,"USA
Australia
Brazil
Canada
India
Mexico
",y
NCT00150709,2008,151,27,3,  NA,NA,NA,223,6-Jan,Phase 3,Matching,0,y,Matching,,"A Multi-Center, Open-Label, Long-Term, Follow-Up Study Of The Safety And Efficacy Of Levetiracetam (Ucb L059) In Children With Epilepsy",UCB Pharma,Levetiracetam (Keppra),up to 16 years,NA,y
NCT02318602,2018,43,2,1,  NA,NA,NA,52,17-Jun,Phase 3,Matching,0,y,Matching,,"A Multicenter, Open-label, Flexible Dose Study to Assess the Long-term Safety of Pharmaceutical Cannabidiol Oral Solution as an Adjunctive Treatment for Pediatric Subjects With a Treatment-resistant Seizure Disorder Who Complete INS011-14-029 or Part A of INS011-15-054",INSYS Therapeutics Inc,Cannabidiol Oral Solution,1–18,USA,y
NCT01653262,Yates 2015,24,0,0,  NA,NA,NA,29,13-Nov,Phase 3,Matching,1,y,Matching,,"An Open-label, Multicenter, Single-arm Study to Evaluate the Reduction in Nonpsychotic Behavioral Side Effects in Subjects With Epilepsy Switching From Levetiracetam to Brivaracetam Due to Nonpsychotic Behavioral Side Effects Phase 3b",UCB Pharma,Brivaracetam,16 years and older,"USA
France
Germany
Spain
United Kingdomw",n
NCT01484977,Baulac 2016,96,8,3,  NA,NA,NA,120,13-Dec,Phase 3,Matching,1,y,Matching,,"Open-label, Single Arm, Study Evaluating Tolerability and Efficacy of Lacosamide When Added to Levetiracetam With Withdrawal of Concomitant Sodium Channel Blocking Antiepileptic Drug in Subjects With Uncontrolled Partial-onset Seizures",UCB Pharma,Lacosamide,18 years and older,"USA
Australia
Bulgaria
Denmark
France
Germany
Romania
Spain
Sweden",n
NCT01175954,Lancman 2016,16,10,NA,  NA,NA,NA,34,15-Dec,Phase 4,Matching,1,n,Matching,,Phase IV Study of Cognitive and Behavioral Effects of Lacosamide as Adjunctive Therapy in Patients With Partial Epilepsy,Northeast Regional Epilepsy Group,Lacosamide | Lacosamide,18–70,USA,n
NCT01140867,2011,0,0,121,  NA,NA,NA,121,11-Mar,Phase 4,Matching,0,y,Matching,,"A Korean Open-label, Multi-center, Community-based Trial Assessing the Efficacy and Safety of Zonisamide as Adjunctive Therapy in Patients With Uncontrolled Partial Epilepsy",Eisai Inc.,zonisamide,15 years and older,"Korea, Republic of",n
NCT01127256,2012,0,0,200,  NA,NA,NA,200,9-Jul,Phase 4,Matching,0,y,Matching,,Comparative Study of Zonisamide and Carbamazepine as an Initial Monotherapy: Efficacy and Safety Evaluation,Eisai Inc.,zonisamide | carbamazepine,15 years and older,"Korea, Republic of",n
NCT01127165,2012,0,0,125,  NA,NA,NA,125,9-Jul,Phase 4,Matching,0,y,Matching,,A Multi-center Comparative Trial of Low and High Dose Zonisamide in Children as Monotherapy,Eisai Inc.,zonisamide low dose group | zonisamide high dose group,2–15,"Korea, Republic of",n
NCT00955357,2018,357,20,12,  NA,NA,NA,456,13-Aug,Phase 4,Matching,0,y,Matching,,"An Open-Label, Multicenter, Multinational Study of Lacosamide as First Add-On Anti-epileptic Drug (AED) Treatment in Subjects With Partial-Onset Seizures",UCB Pharma,Lacosamide,17 years and older,"USA
Austria
Bulgaria
Czechia
Denmark
Finland
France
Greece
Italy
Mexico
Romania
Russian Federation
Spain
Switzerland
Turkey
",N
NCT00643500,2008,259,NA,NA,  NA,NA,NA,342,3-May,Phase 4,Matching,0,y,Matching,,Pharmacovigilance Study of Keppra. SPAIN - SKATE : Safety of Keppra as Adjunctive Therapy in Epilepsy,UCB Pharma,Levetiracetam,16 years and older,NA,n
NCT00631150,2008,35,NA,NA,  NA,NA,NA,35,4-Jul,Phase 4,Matching,0,y,Matching,,A Phase IV-Pharmacovigilance Study of Keppra Greece - S.K.A.T.E.: Safety of Keppra as Adjunctive Therapy in Epilepsy,UCB Pharma,Levetiracetam (Keppra),16 years and older,NA,n
NCT00630357,2008,13,NA,NA,1,NA,NA,14,4-Jul,Phase 4,Matching,0,y,Matching,,"A Phase IV, Open-label, Multi-center Trial to Evaluate the Safety and Efficacy of KeppraÔÎ After Conversion to Mono-therapy in Adult Subjects With Partial Epilepsy",UCB Pharma,Levetiracetam (Keppra),16 years and older,NA,y
NCT00275912,2008,59,0,0,NA,NA,NA,60,7-Sep,Phase 4,Matching,0,y,Matching,,"A 24-week Prospective Open-label Multicenter Study to Evaluate the Effect on Seizure Frequency, Safety and Tolerability of Oxcarbazepine Monotherapy in Children With Partial Seizures",Novartis,Oxcarbazepine,6 months to 17 years,Russian Federation,n
NCT02363933,2018,8,0,0,NA,NA,NA,8,17-Apr,Phase 4,Matching,0,y,Matching,,Phase II Feasibility Study to Evaluate the Efficacy and Safety of Perampanel in Seizure Patients With Primary Glial Brain Tumors,Duke University,Perampanel,18 years and older,USA,n
NCT02100644,2017,NA,NA,NA,NA,NA,33,33,15-May,Phase 4,Matching,0,y,Matching,,"Valproate Dose Reduction and Its Clinical Evaluation by Introducing Lamotrigine in Japanese Women With Epilepsy - Single Arm, Multicenter, and Open-label Study -",GlaxoSmithKline,Lamotrigine tablets 25/100 mg,15 years and older,Japan,n
NCT01498822,Kim 2017,1,NA,346,NA,NA,NA,347,14-Jul,Phase 4,Matching,1,y,Matching,,"A Multi-Center, Open-label, Randomized Study to Evaluate the Long Term Effectiveness of Levetiracetam as Monotherapy in Comparison With Oxcarbazepine in Subjects With Newly or Recently Diagnosed Partial Epilepsy",UCB Pharma,Levetiracetam | Oxcarbazepine,16-80,"Korea, republic of",n
NCT02551731,2018,7,0,1,NA,NA,NA,9,16-Sep,Phase 2,Matching,0,y,Matching,,A Phase 2 Study to Assess the Efficacy and Safety of Cannabidiol Oral Solution for the Treatment of Refractory Infantile Spasms,INSYS Therapeutics Inc,Cannabidiol Oral Solution,6 months to 36 months,USA,n
NCT02474407,2018,57,13,1,NA,NA,NA,78,16-Jul,Phase 2,Matching,0,y,Matching,,"An Open-Label, Randomized, Crossover Pharmacokinetic Study to Determine the Bioavailability, Safety and Tolerability of Single Doses of Diazepam Nasal Spray Versus Diazepam Rectal Gel (DiastatÔÎ) in Patients With Refractory Epilepsy",Acorda Therapeutics,diazepam nasal spray | diazepam rectal gel,12–65,USA,n
NCT02316847,2018,83,10,1,NA,NA,NA,108,16-Sep,Phase 2,Matching,0,y,Matching,,"Multi-center, Open-label, Study of Safety and Tolerability of Chronic Intermittent Usage of Diazepam Nasal Spray in Adolescents and Adult Patients With Cluster Seizures, Including Assessment of Olfaction and Reported Changes in Taste.",Acorda Therapeutics,diazepam nasal spray,12–65,USA,n
NCT01494584,2018,5,NA,NA,NA,NA,NA,5,13-Apr,Phase 2,Matching,0,y,Matching,,"Open-label, Multiple Dose Study to Evaluate the Parmacokinetics, Safety and Tolerability of Ezogabine/Retigabine as Adjunctive Treatment in Subjects Aged From 12 Years to Less Than 18 Years With Partial Onset Seizures or Lennox-Gastaut Syndrome",GlaxoSmithKline,ezogabine/retigabine,12–17,USA,n
NCT00310388,2018,360,3,3,NA,NA,NA,376,18-May,Phase 3,Matching,0,y,Matching,,"A Multicenter, Open-Label, Long-Term, Safety, Tolerability and Efficacy Study of Retigabine in Adult Epilepsy Patients With Partial-Onset Seizures (Extension of Study VRX-RET-E22-302)",GlaxoSmithKline,"Retigabine (INN), Ezogabine (USAN)",18-75,"Australia
Belgium
France
Germany
Hungary
Israel
Poland
Russian Federation
South Africa
Spain
Ukraine
United Kingdom
",y
NCT02161185,2019,70,0,0,NA,NA,NA,7,15-May,Phase 3,Matching,0,y,Matching,,An Open-Label Safety Study of USL261 in the Outpatient Treatment of Adolescent and Adult Subjects With Seizure Clusters,"Proximagen, LLC",USL261,12–65,USA,n
NCT01668654,2018,4,NA,NA,NA,NA,NA,4,13-Jun,Phase 3,Matching,0,y,Matching,,"RTG113388, a Long-term, Open-label Safety Extension Study of Retigabine/Ezogabine in Pediatric Subjects With Partial Onset Seizures (>= 12 Years Old) and Subjects With Lennox-Gastaut Syndrome (>=12 Years Old)",GlaxoSmithKline,retigabine/ezogabine,12–29,USA,y
NCT01266291,2017,1,0,0,NA,NA,NA,1,13-Dec,Phase 4,Matching,0,y,Matching,,"Sabril for Treatment of Adult Refractory Partial Seizures Symptomatic of Tuberous Sclerosis: An Open Label, Phase IV Prospective Safety and Tolerability Study",University of Pennsylvania,vigabatrin,18 years and older,USA,n
NCT01161524, Piña-Garza 2018,69,NA,41,NA,NA,NA,114,14-Sep,Phase 2,Matching,2,n,Matching,,"A Randomized, Double-blind, Placebo-controlled, Parallel-group Study With an Open-label Extension Phase to Evaluate the Effect of Perampanel (E2007) on Cognition, Growth, Safety, Tolerability, and Pharmacokinetics When Administered as an Adjunctive Therapy in Adolescents (12 to Less Than 18 Years of Age) With Inadequately Controlled Partial-onset Seizures",Eisai Inc.,Perampanel | Placebo,12–18,USA,y
NCT01191086,chung 2016,180,NA,NA,NA,NA,NA,210,14-May,Phase 3,Matching,1,y,Matching,,"Open-Label Extension Study to Evaluate the Safety of USL255 as Adjunctive Therapy in Patients With Refractory Partial-Onset Seizures Who Had Participated in P09-004, a Randomized, Multicenter, Double-Blind, Placebo-Controlled, Parallel-Group, Phase 3 Study",Upsher-Smith Laboratories,USL255,18-75,"USA
Argentina
Australia
Belgium
Canada
Chile
Germany
Greece
India
Israel
New Zealand
Poland
Russian Federation
South Africa
Spain",y
NCT01278173,2018,58,5,2,NA,NA,NA,65,15-May,Phase 4,Matching,0,y,Matching,,"A Prospective, Open-label Study of the Structure and Function of the Retina in Adult Patients With Refractory Complex Partial Seizures Treated With Vigabatrin (SabrilÔÎ)",Lundbeck LLC,Sabril,18 years and older,USA,n
